# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	32367
#@/user_id	Mac
a 	啊	c=393 d=1.26882 t=31923
fang an 	方案	c=1 d=1 t=29710
fang bian 	方便	c=1 d=0.10006 t=17557
fang bian ma 	方便吗	c=1 d=1 t=17558
fang bu xia 	放不下	c=1 d=1 t=6312
fang chan 	房产	c=1 d=1 t=646
fang dai 	房贷	c=1 d=1 t=13585
fang dang 	放荡	c=0 d=0.1 t=7313
fang dang bu ji 	放荡不羁	c=1 d=1 t=7314
fang dian 	放点	c=1 d=1 t=21041
fang fang 	方方	c=0 d=0.1 t=9328
fang fei 	放飞	c=1 d=1 t=14805
fang gang 	方刚	c=1 d=1 t=18619
fang guo 	放过	c=2 d=1 t=13682
fang jia 	房价	c=1 d=1 t=13987
fang jian 	房间	c=3 d=1.30559 t=29909
fang jin 	放进	c=1 d=0.913931 t=32367
fang kai 	放开	c=1 d=1 t=30244
fang kong 	防控	c=1 d=1 t=692
fang mian 	方面	c=5 d=1.50295 t=23253
fang qi 	放弃	c=16 d=1.0001 t=31995
fang shi 	方式	c=10 d=1.21882 t=28733
fang shou 	放手	c=2 d=1 t=23384
fang wo 	放我	c=2 d=1.0004 t=26740
fang xia 	放下	c=3 d=1 t=30179
fang xiang 	方向	c=2 d=1.00385 t=7025
fang xin 	放心	c=1 d=1 t=26813
fang xin le 	放心了	c=1 d=1 t=12664
fang zai 	放在	c=2 d=1 t=31731
fang zhe 	放着	c=1 d=1 t=14330
fang zhe 	防着	c=3 d=1.09348 t=26586
fang zhi 	防止	c=1 d=1 t=10503
fang zi 	房子	c=4 d=1.94773 t=13591
fang zong 	放纵	c=1 d=1 t=27114
fei 	废	c=2 d=1 t=24793
fei 	肥	c=1 d=1 t=18974
fei 	费	c=2 d=1 t=29867
fei 	非	c=2 d=0.100011 t=24545
fei chang 	非常	c=2 d=1.042 t=22266
fei gu 	非故	c=1 d=1 t=21514
fei jin 	费劲	c=0 d=0.1 t=885
fei le 	废了	c=1 d=1 t=18781
fei li 	费力	c=1 d=1 t=30390
fei na me 	费那么	c=1 d=1 t=8549
fei niao 	飞鸟	c=1 d=1 t=11394
fei qi 	废弃	c=1 d=0.946485 t=32367
fei qian 	费钱	c=3 d=0.1 t=31793
fei ren 	废人	c=1 d=1 t=25722
fei rou 	肥肉	c=0 d=0.1 t=21028
fei rou de 	肥肉的	c=1 d=1 t=21029
fei yao 	非要	c=6 d=1.37996 t=24722
fei yong 	费用	c=1 d=1 t=332
fen 	份	c=2 d=1 t=29775
fen 	分	c=7 d=1 t=20754
fen 	粉	c=7 d=1 t=23832
fen ceng 	分层	c=1 d=1 t=10891
fen fen 	分分	c=1 d=1 t=17071
fen shou 	分手	c=0 d=0.1 t=6699
fen shou de 	分手的	c=1 d=1 t=6700
fen wei 	氛围	c=1 d=1 t=19490
fen wen 	分文	c=1 d=0.100739 t=13103
fen wu fen wen 	分无分文	c=2 d=1.51171 t=13238
fen xiang 	分享	c=3 d=1 t=28207
fen zhong 	分钟	c=0 d=0.1 t=1016
feng 	凤	c=2 d=1.9802 t=11396
feng 	封	c=2 d=1.11475 t=28716
feng 	峰	c=1 d=1 t=14268
feng 	疯	c=3 d=1.94329 t=15487
feng 	风	c=2 d=1 t=25011
feng ci 	讽刺	c=1 d=1 t=27826
feng ge 	风格	c=1 d=1 t=3438
feng huang 	凤凰	c=1 d=1 t=12045
feng jing 	风景	c=1 d=1 t=24324
feng kuang 	疯狂	c=1 d=1 t=15777
feng le 	疯了	c=1 d=1 t=2063
feng lu 	俸禄	c=1 d=1 t=10141
feng qing 	凤轻	c=1 d=1 t=11416
feng sha 	封杀	c=1 d=1 t=20324
feng shui 	风水	c=2 d=1 t=11501
feng xian 	奉献	c=2 d=1 t=29275
feng xian 	风险	c=9 d=1.00007 t=29841
feng xing 	奉行	c=1 d=1 t=22071
feng yu 	风雨	c=1 d=1 t=16335
feng zhi 	峰值	c=1 d=1 t=10038
feng zi 	疯子	c=2 d=1 t=30232
fou ding 	否定	c=1 d=1 t=10697
fou ren 	否认	c=0 d=0.1 t=21984
fu 	付	c=1 d=1 t=29864
fu 	夫	c=1 d=0.1 t=24099
fu 	富	c=1 d=1 t=16593
fu 	扶	c=1 d=1 t=13316
fu 	服	c=2 d=1.00795 t=8743
fu bai 	腐败	c=0 d=0.1 t=16522
fu chi 	扶持	c=2 d=1.09117 t=27994
fu chou 	复仇	c=0 d=0.1 t=22381
fu chu 	付出	c=8 d=1.0299 t=24937
fu cong 	服从	c=1 d=1 t=4274
fu dan 	负担	c=1 d=1 t=9239
fu gui 	富贵	c=3 d=1.00006 t=25823
fu gui bing 	富贵病	c=1 d=1 t=15859
fu gui ming 	富贵命	c=1 d=1 t=15857
fu hao 	富豪	c=0 d=0.1 t=16003
fu hao bang 	富豪榜	c=1 d=1 t=15757
fu hao qu 	富豪区	c=1 d=1 t=16004
fu he 	符合	c=1 d=1.00154 t=2075
fu he 	附和	c=1 d=1 t=14096
fu hei 	腹黑	c=1 d=1 t=19257
fu jia 	富家	c=1 d=1 t=17861
fu jian 	福建	c=19 d=1.00111 t=29768
fu jian ren 	福建人	c=3 d=1.33622 t=18909
fu mu 	父母	c=2 d=1 t=15541
fu pin 	扶贫	c=1 d=1 t=30336
fu ping 	浮萍	c=1 d=1 t=25782
fu qian 	肤浅	c=1 d=1 t=14113
fu ren 	夫人	c=1 d=1 t=9949
fu shou 	扶手	c=1 d=1 t=29436
fu yan 	敷衍	c=1 d=1 t=23351
fu yun 	浮云	c=0 d=0.1 t=11365
fu za 	复杂	c=13 d=0.400243 t=31030
fu za le 	复杂了	c=1 d=1 t=31031
fu ze 	负责	c=5 d=2.596 t=31065
fu zhou 	福州	c=3 d=2.92168 t=5336
fu zhuang 	服装	c=1 d=1 t=2070
gai 	改	c=5 d=1 t=26129
gai 	该	c=13 d=1.24545 t=31722
gai bian 	改变	c=38 d=1.00001 t=31675
gai bian shi jie 	改变世界	c=2 d=1.93239 t=19643
gai bu hui 	该不会	c=1 d=0.110673 t=19790
gai ge 	改革	c=1 d=1 t=3943
gai le 	改了	c=1 d=1 t=17959
gai liang 	改良	c=1 d=1 t=7498
gai lv 	概率	c=3 d=1 t=18455
gai ming 	改命	c=3 d=1 t=17034
gai ming le 	改命了	c=1 d=1 t=12129
gai you 	该有	c=1 d=1 t=7593
gai zao 	改造	c=2 d=1 t=18718
gai zuo 	该做	c=1 d=1 t=1593
gan 	干	c=10 d=1.04832 t=30880
gan 	感	c=2 d=1 t=23812
gan 	敢	c=8 d=1 t=22468
gan bu gan 	干不干	c=2 d=1 t=27704
gan chu 	赶出	c=1 d=1 t=27651
gan cui 	干脆	c=5 d=1.01131 t=26408
gan cui dian 	干脆点	c=1 d=1 t=25973
gan dao 	干到	c=1 d=1 t=7334
gan dao 	感到	c=1 d=1 t=15078
gan die 	干爹	c=2 d=1 t=18428
gan en 	感恩	c=2 d=1 t=20240
gan ga 	尴尬	c=2 d=0.1 t=23763
gan guo 	干过	c=1 d=1 t=20385
gan hua 	感化	c=1 d=1 t=30180
gan ji 	感激	c=1 d=1.00014 t=31680
gan jin 	赶紧	c=5 d=1.74082 t=28842
gan jing 	干净	c=6 d=1.75359 t=28765
gan jing de 	干净的	c=1 d=1 t=461
gan jing dian 	干净点	c=1 d=1 t=24531
gan jue 	感觉	c=18 d=1 t=28628
gan jue dao 	感觉到	c=2 d=1.00285 t=17758
gan jue de 	感觉的	c=1 d=1 t=9028
gan le 	干了	c=4 d=1 t=31262
gan ma 	干嘛	c=17 d=1.04926 t=31632
gan qing 	感情	c=5 d=1.47951 t=20136
gan sha 	干啥	c=1 d=1 t=18753
gan she 	干涉	c=2 d=1 t=32096
gan shen me 	干什么	c=2 d=1.00001 t=31974
gan sheng 	敢生	c=1 d=1 t=19174
gan shou 	感受	c=3 d=1 t=16092
gan shou bu dao 	感受不到	c=2 d=1.98511 t=9108
gan xie 	感谢	c=1 d=1 t=32034
gan yi hang 	干一行	c=1 d=1 t=5933
gan zhe 	赶着	c=0 d=0.1 t=24631
gang 	刚	c=3 d=0.1 t=25235
gang bi ye 	刚毕业	c=2 d=1 t=15271
gang cai 	刚才	c=1 d=1 t=28424
gang gang 	刚刚	c=1 d=1 t=10088
gang hao 	刚好	c=2 d=1 t=23843
gang xiang yu 	刚相遇	c=1 d=1 t=25236
gao 	告	c=1 d=1 t=24802
gao 	搞	c=45 d=1.04098 t=31271
gao 	高	c=13 d=1.14164 t=29830
gao bai 	搞白	c=2 d=1.97531 t=27836
gao bu ding 	搞不定	c=1 d=1 t=2374
gao bu gao 	搞不搞	c=1 d=0.1 t=30015
gao bu gao le 	搞不搞了	c=1 d=1 t=30016
gao bu hao 	搞不好	c=1 d=1 t=28713
gao cheng 	搞成	c=2 d=1 t=15152
gao de 	搞得	c=16 d=3.0188 t=30841
gao de hao 	搞得好	c=1 d=1 t=19491
gao dian 	糕点	c=1 d=1 t=28913
gao ding 	搞定	c=1 d=1 t=12509
gao ding de 	搞定的	c=1 d=1 t=345
gao duan 	高端	c=1 d=1 t=1757
gao fa 	高发	c=0 d=0.1 t=4676
gao fa di 	高发地	c=1 d=1 t=4677
gao gao 	搞搞	c=2 d=1 t=30130
gao gao zai shang 	高高在上	c=1 d=1 t=13440
gao guan 	高官	c=1 d=1 t=26613
gao guan 	高管	c=2 d=1.9802 t=16551
gao guo 	高过	c=1 d=1 t=10496
gao ke ji 	高科技	c=1 d=1 t=9992
gao le 	搞了	c=4 d=1 t=29718
gao leng 	高冷	c=1 d=1 t=14150
gao li dai 	高利贷	c=1 d=1 t=25202
gao ren jia 	搞人家	c=1 d=1 t=24713
gao shen me 	搞什么	c=2 d=1.19691 t=27407
gao shou 	高手	c=1 d=1 t=12690
gao shui 	搞谁	c=2 d=1 t=3808
gao si 	搞死	c=2 d=1 t=6576
gao si le 	搞死了	c=1 d=1 t=24491
gao su 	告诉	c=11 d=1.05969 t=27668
gao su ni 	告诉你	c=6 d=1.0717 t=28008
gao su ta men 	告诉他们	c=3 d=1 t=30183
gao su wo 	告诉我	c=12 d=1.00165 t=30065
gao ta men 	搞他们	c=1 d=1 t=19637
gao wo 	搞我	c=2 d=1 t=29880
gao xing 	高兴	c=0 d=0.100075 t=11144
gao zhong 	高中	c=5 d=1.46419 t=6511
gao zhuang 	告状	c=1 d=1 t=14665
ge 	个	c=77 d=0.955997 t=32367
ge 	搁	c=2 d=1 t=12808
ge 	格	c=2 d=1 t=20612
ge 	歌	c=1 d=1 t=21700
ge 	隔	c=1 d=1 t=22391
ge da 	各大	c=1 d=1 t=18522
ge fang 	各方	c=1 d=1 t=14360
ge fang mian 	各方面	c=5 d=1 t=18200
ge ge 	个个	c=4 d=1 t=22919
ge ge bu ru 	格格不入	c=1 d=1 t=13114
ge guo 	各国	c=0 d=0.121119 t=685
ge guo de 	各国的	c=1 d=1 t=686
ge guo zheng fu 	各国政府	c=1 d=1 t=375
ge ju 	格局	c=1 d=1 t=4146
ge ren 	个人	c=2 d=1 t=32313
ge tou 	个头	c=0 d=0.1 t=29724
ge wei 	各位	c=1 d=1 t=10025
ge wo 	搁我	c=1 d=1 t=25208
ge zhong 	各种	c=2 d=1 t=26458
gei 	给	c=28 d=1.00289 t=32330
gei bu chu lai 	给不出来	c=1 d=1 t=24585
gei bu liao 	给不了	c=4 d=1.04013 t=4187
gei bu qi 	给不起	c=1 d=1 t=7602
gei de 	给的	c=6 d=2.92168 t=31478
gei dian 	给点	c=0 d=0.1 t=418
gei dian qian 	给点钱	c=1 d=1 t=3373
gei ge 	给个	c=2 d=1 t=18149
gei le 	给了	c=0 d=0.111765 t=26468
gei le ni 	给了你	c=1 d=1 t=14909
gei le ta 	给了他	c=1 d=1 t=2860
gei ni 	给你	c=12 d=1.14775 t=29105
gei ni de 	给你的	c=1 d=1 t=7682
gei ni hao le 	给你好了	c=1 d=1 t=9201
gei ni le 	给你了	c=1 d=1 t=23914
gei ni men 	给你们	c=1 d=1 t=13341
gei qian 	给钱	c=8 d=1.31506 t=26899
gei ta 	给他	c=1 d=1 t=30095
gei ta 	给她	c=2 d=1.63763 t=22883
gei wo 	给我	c=84 d=3.26259 t=32295
gei wo de 	给我的	c=3 d=1 t=21629
gei wo dian 	给我点	c=1 d=1 t=5036
gei wo shen me 	给我什么	c=1 d=1 t=7518
gei zi ji 	给自己	c=9 d=1 t=30852
gen 	跟	c=71 d=0.99005 t=32367
gen ben 	根本	c=5 d=1 t=31503
gen ben jiu shi 	根本就是	c=1 d=1 t=26376
gen bie ren 	跟别人	c=1 d=1 t=8286
gen ni 	跟你	c=11 d=1 t=26727
gen ni ba 	跟你爸	c=1 d=1 t=21055
gen ni jie shi 	跟你解释	c=1 d=1 t=14762
gen ni men 	跟你们	c=2 d=1.00002 t=28846
gen ren 	跟人	c=3 d=1 t=16708
gen ren jia 	跟人家	c=4 d=1 t=26525
gen shui 	跟谁	c=2 d=1 t=27230
gen ta 	跟他	c=5 d=1 t=30499
gen ta men 	跟他们	c=15 d=1.10644 t=28689
gen wo 	跟我	c=30 d=1.97971 t=32345
gen wo bu shi 	跟我不是	c=1 d=1 t=10703
gen wo de 	跟我的	c=1 d=1 t=1545
gen wo shuo 	跟我说	c=2 d=1 t=16763
gen yi qian 	跟以前	c=1 d=1 t=25287
gen yuan 	根源	c=2 d=1 t=11709
gen zhe 	跟着	c=5 d=1.00001 t=29065
gen zi ji 	跟自己	c=1 d=1 t=2477
geng 	更	c=23 d=1.00006 t=31522
geng can 	更惨	c=1 d=1 t=11318
geng cha 	更差	c=1 d=1 t=21166
geng duo de 	更多的	c=1 d=1 t=14338
geng hao 	更好	c=3 d=1 t=29126
geng he kuang 	更何况	c=1 d=1 t=4510
geng luan 	更乱	c=1 d=1 t=14498
geng shi 	更是	c=1 d=1 t=20254
geng xin 	更新	c=2 d=1.9802 t=16178
geng yuan yi 	更愿意	c=2 d=1 t=17905
gong 	共	c=1 d=0.932394 t=32367
gong 	功	c=0 d=0.1 t=3364
gong 	攻	c=1 d=1 t=18547
gong an bu 	公安部	c=1 d=1 t=26359
gong an ju 	公安局	c=1 d=1 t=29979
gong dan 	工单	c=1 d=1 t=28395
gong fu 	功夫	c=1 d=1 t=25551
gong jiao che 	公交车	c=1 d=1 t=13241
gong ju 	工具	c=2 d=0.806541 t=32367
gong kai 	公开	c=1 d=0.1 t=26556
gong kai de 	公开的	c=1 d=1 t=26557
gong ping 	公平	c=2 d=1 t=21604
gong ping de 	公平的	c=2 d=1 t=23911
gong ren 	公认	c=2 d=1.00192 t=8201
gong ren 	工人	c=3 d=1.00005 t=15851
gong si 	公司	c=12 d=1.00342 t=29688
gong si de 	公司的	c=1 d=1 t=3719
gong xiao she 	供销社	c=1 d=1 t=12546
gong yi 	工艺	c=1 d=0.878095 t=32367
gong zhong ren wu 	公众人物	c=1 d=1 t=9399
gong zi 	工资	c=4 d=1.32956 t=30051
gong zuo 	工作	c=20 d=1 t=29827
gong zuo de ren 	工作的人	c=1 d=1 t=23429
gong zuo le 	工作了	c=5 d=1 t=26986
gou 	够	c=5 d=1.00001 t=31868
gou 	狗	c=1 d=1 t=11206
gou fu bai 	够腐败	c=1 d=1 t=16523
gou hen 	够狠	c=1 d=1 t=2305
gou le 	够了	c=7 d=1.00705 t=32151
gou le 	狗了	c=1 d=1 t=16031
gou ta 	够他	c=1 d=1 t=30099
gou wo 	够我	c=1 d=1 t=1152
gou xin dou jiao 	勾心斗角	c=1 d=1 t=25119
gou yong 	够用	c=1 d=1 t=7066
gu 	孤	c=0 d=0.1 t=2822
gu 	故	c=3 d=2.60153 t=16728
gu dai 	古代	c=5 d=1.8167 t=32367
gu dian 	古典	c=1 d=1 t=30899
gu ding 	固定	c=1 d=1 t=16796
gu du 	孤独	c=2 d=1 t=19947
gu er 	孤儿	c=2 d=1 t=29066
gu er yuan 	孤儿院	c=3 d=1.00052 t=11999
gu fen 	股份	c=1 d=0.1 t=11871
gu fen de 	股份的	c=1 d=1 t=11872
gu hao 	顾好	c=1 d=1 t=5610
gu ji 	估计	c=7 d=1.00062 t=22831
gu ji shi 	估计是	c=1 d=1 t=2610
gu lao 	古老	c=1 d=0.618783 t=32367
gu li 	孤立	c=1 d=0.1 t=17885
gu li wu yuan 	孤立无缘	c=1 d=1 t=17886
gu lv 	顾虑	c=5 d=1 t=28355
gu piao 	股票	c=2 d=1 t=26627
gu qi 	骨气	c=2 d=1.93707 t=24110
gu shi 	故事	c=1 d=1 t=19537
gu tou 	骨头	c=1 d=1 t=589
gu wen 	古文	c=1 d=1 t=2792
gua 	寡	c=1 d=1 t=12706
gua 	挂	c=3 d=1 t=27347
gua 	瓜	c=1 d=1 t=16496
gua ge 	挂个	c=1 d=1 t=24851
gua lai 	刮来	c=1 d=1 t=22056
gua shui 	挂水	c=1 d=1 t=31115
guai 	乖	c=1 d=1 t=7307
guai 	怪	c=3 d=0.1 t=20094
guai 	拐	c=1 d=1 t=30416
guai bu liao 	怪不了	c=1 d=1 t=6395
guai guai 	乖乖	c=1 d=1 t=11549
guai guo 	怪过	c=1 d=1 t=24848
guai tai 	怪胎	c=1 d=1 t=14605
guan 	关	c=2 d=1 t=30590
guan 	冠	c=2 d=1.54335 t=31372
guan 	官	c=4 d=1.05182 t=29932
guan 	管	c=4 d=1.03206 t=30812
guan 	观	c=3 d=1.00165 t=32127
guan 	馆	c=1 d=1 t=30845
guan ai 	关爱	c=1 d=1 t=7600
guan cai 	棺材	c=1 d=1 t=16100
guan dian 	观点	c=1 d=1 t=30690
guan jian 	关键	c=15 d=0.103698 t=28993
guan jian shi 	关键是	c=10 d=1.0566 t=25146
guan le 	惯了	c=1 d=1 t=15471
guan li 	管理	c=2 d=1 t=22129
guan li hao 	管理好	c=1 d=1 t=7812
guan nian 	观念	c=12 d=1.0063 t=32114
guan xi 	关系	c=46 d=1.98553 t=32027
guan xi de 	关系的	c=1 d=1 t=6987
guan xi ma 	关系吗	c=1 d=1 t=30495
guan xin 	关心	c=1 d=1 t=31456
guan yu 	关于	c=2 d=1 t=23250
guan yuan 	官员	c=1 d=1 t=30049
guan zai 	关在	c=1 d=1 t=7320
guan zi 	罐子	c=1 d=0.1 t=26143
guang 	光	c=1 d=1 t=19992
guang 	逛	c=1 d=1 t=31826
guang bo 	广播	c=1 d=1 t=28198
guang dong 	广东	c=3 d=1 t=28909
guang gao 	广告	c=1 d=1 t=8605
guang jie 	逛街	c=1 d=0.683861 t=32367
guang kan 	光看	c=1 d=1 t=7542
guang kuo 	广阔	c=1 d=0.918512 t=32367
guang zhou 	广州	c=2 d=1.90484 t=16545
gui 	归	c=3 d=1 t=30621
gui 	贵	c=2 d=1 t=10010
gui 	鬼	c=3 d=1 t=28815
gui de 	贵的	c=1 d=1 t=7063
gui ding 	规定	c=2 d=1 t=31822
gui fei 	贵妃	c=4 d=3.31049 t=29552
gui hua 	规划	c=2 d=1.0802 t=10606
gui hua 	鬼话	c=3 d=1 t=19929
gui ji 	轨迹	c=2 d=1 t=23649
gui lv 	规律	c=2 d=1 t=22658
gui ren 	贵人	c=2 d=1 t=18878
gui shu di 	归属地	c=1 d=1 t=9591
gui wu 	鬼屋	c=1 d=1 t=15398
gui ze 	规则	c=5 d=1 t=29344
gun 	滚	c=1 d=1 t=14223
guo 	国	c=5 d=1.00499 t=32328
guo 	果	c=1 d=1 t=28887
guo 	过	c=60 d=2.35716 t=32097
guo 	锅	c=5 d=1 t=24635
guo bu hao 	过不好	c=1 d=0.978095 t=19930
guo bu hao le 	过不好了	c=1 d=1 t=19931
guo bu liao 	过不了	c=2 d=1.91393 t=3296
guo bu qu 	过不去	c=1 d=1 t=2514
guo bu xia qu 	过不下去	c=2 d=0.110781 t=24381
guo bu xia qu le 	过不下去了	c=1 d=1 t=16444
guo cheng 	过程	c=3 d=1 t=26711
guo de 	过得	c=18 d=1.49237 t=32030
guo de ren 	过的人	c=2 d=1 t=30459
guo du 	过度	c=1 d=1 t=2466
guo duan 	果断	c=4 d=1 t=24183
guo duan 	过段	c=1 d=1 t=6309
guo duan de 	果断的	c=1 d=1 t=19711
guo fang 	国防	c=1 d=1 t=11404
guo fen 	过分	c=1 d=0.100001 t=12965
guo fen de 	过分的	c=1 d=1 t=7612
guo fen le 	过分了	c=2 d=1 t=23899
guo ge 	过个	c=1 d=1 t=31417
guo gou le 	过够了	c=1 d=1 t=11735
guo guo 	过过	c=2 d=1 t=23804
guo hao 	过好	c=8 d=1.00136 t=31772
guo he bo ke 	果核剥壳	c=2 d=1 t=11372
guo hou 	过后	c=2 d=1.89137 t=32324
guo ji 	国籍	c=3 d=3.04316 t=30157
guo ji 	国际	c=1 d=0.1 t=20912
guo ji ban 	国际版	c=1 d=1 t=20913
guo ji ge yue 	过几个月	c=2 d=1 t=28738
guo ji nian 	过几年	c=1 d=1 t=23383
guo jia 	国家	c=18 d=2.85794 t=30267
guo jia de 	国家的	c=1 d=1 t=1973
guo lai 	过来	c=4 d=1 t=29683
guo lai le 	过来了	c=1 d=0.1 t=24353
guo le 	过了	c=7 d=1.00027 t=23456
guo le 	锅了	c=1 d=1 t=11887
guo liang nian 	过两年	c=1 d=1 t=25652
guo ma 	过吗	c=1 d=1 t=24131
guo min 	过敏	c=1 d=1 t=15922
guo nei 	国内	c=12 d=1 t=32332
guo qu 	过去	c=15 d=1 t=31246
guo qu yi yang 	过去一样	c=1 d=1 t=24677
guo ran 	果然	c=0 d=0.1 t=32218
guo shan che 	过山车	c=1 d=1 t=15394
guo shang 	过上	c=7 d=1.12705 t=22606
guo wai 	国外	c=7 d=0.303926 t=32333
guo wai ya 	国外呀	c=1 d=1 t=22311
guo wo 	过我	c=1 d=1 t=8890
guo yi ge 	过一个	c=1 d=1 t=3656
guo yi sheng 	过一生	c=3 d=1.97045 t=32349
guo zhe 	过着	c=5 d=1.00093 t=19760
ha ha 	哈哈	c=2 d=1.6157 t=23867
hai 	害	c=1 d=1 t=583
hai 	海	c=1 d=1 t=1159
hai 	还	c=47 d=0.140147 t=32194
hai bu 	还不	c=1 d=0.1 t=21541
hai bu cuo 	还不错	c=2 d=1 t=19404
hai bu dei 	还不得	c=2 d=1 t=26851
hai bu dou shi 	还不都是	c=1 d=1 t=17217
hai bu gou 	还不够	c=1 d=1 t=30959
hai bu gou you qian 	还不够有钱	c=1 d=1 t=9544
hai bu hui 	还不会	c=1 d=1 t=32195
hai bu jiu 	还不就	c=1 d=1 t=17145
hai bu jiu shi 	还不就是	c=1 d=1 t=14123
hai bu rang 	还不让	c=1 d=1 t=22740
hai bu rang wo 	还不让我	c=1 d=1 t=1353
hai bu ru 	还不如	c=13 d=1 t=32247
hai bu shi 	还不是	c=10 d=1 t=31344
hai bu suan 	还不算	c=2 d=1.99005 t=21544
hai bu zhi dao 	还不知道	c=0 d=0.1 t=2036
hai bu zhi yu 	还不至于	c=1 d=0.1 t=22005
hai dei 	还得	c=0 d=0.1 t=24789
hai gao 	还高	c=1 d=1 t=22585
hai gei wo 	还给我	c=2 d=1.01291 t=8377
hai gen 	还跟	c=1 d=1 t=24676
hai hao 	还好	c=6 d=1.00604 t=18414
hai hui 	还会	c=2 d=1 t=18531
hai huo zhe 	还活着	c=1 d=1 t=23053
hai kan 	还看	c=1 d=1 t=30378
hai kan wo 	还看我	c=1 d=1 t=2962
hai ke yi 	还可以	c=1 d=1 t=13347
hai li pu 	还离谱	c=1 d=1 t=4033
hai luan 	还乱	c=1 d=1 t=25249
hai ma 	海马	c=1 d=1 t=19500
hai mei 	还没	c=15 d=1.65873 t=31174
hai mei dao 	还没到	c=1 d=1 t=6042
hai mei you 	还没有	c=1 d=1 t=25756
hai nan 	还难	c=2 d=1.00012 t=4781
hai neng 	还能	c=6 d=1 t=30074
hai neng wei sha 	还能为啥	c=1 d=1 t=22735
hai pa 	害怕	c=6 d=0.194981 t=30739
hai pa de 	害怕的	c=1 d=1 t=19425
hai pao 	还跑	c=1 d=1 t=20795
hai qiong 	还穷	c=1 d=1 t=29855
hai shi 	还是	c=85 d=1.06585 t=32357
hai shi ku 	还是苦	c=1 d=1 t=9541
hai shi wo 	还是我	c=1 d=1 t=4897
hai shi yao 	还是要	c=1 d=1 t=329
hai suan 	还算	c=1 d=1 t=1674
hai xiang 	还想	c=4 d=1.00003 t=29237
hai xiang zhe 	还想这	c=1 d=1 t=11580
hai xiao 	还小	c=2 d=1.00001 t=11614
hai xing 	还行	c=3 d=1 t=13415
hai xu yao 	还需要	c=1 d=1 t=26582
hai xue xi 	还学习	c=1 d=1 t=19418
hai yao 	还要	c=13 d=1 t=31661
hai yi wei 	还以为	c=1 d=0.1 t=18657
hai yi zhi 	还一直	c=1 d=1 t=29813
hai you 	还有	c=30 d=1.0007 t=32161
hai you de 	还有的	c=1 d=1 t=29283
hai you dian 	还有点	c=2 d=1 t=26050
hai you ge 	还有个	c=2 d=1 t=29023
hai you jiu shi 	还有就是	c=1 d=1 t=3766
hai you qian 	还有钱	c=1 d=1 t=8603
hai you ren 	还有人	c=2 d=1 t=30248
hai you shen me 	还有什么	c=1 d=1 t=21133
hai yuan yi 	还愿意	c=1 d=1 t=24402
hai zai 	还在	c=3 d=1 t=28700
hai zhe bu shi 	还这不是	c=1 d=1 t=2368
hai zhe yang 	还这样	c=1 d=1 t=6379
hai zhen 	还真	c=1 d=0.1 t=26858
hai zhen de 	还真的	c=1 d=1 t=11257
hai zhen shi 	还真是	c=1 d=1 t=18685
hai zhen yao 	还真要	c=1 d=1 t=26859
hai zi 	孩子	c=71 d=2.75295 t=32160
hai zi ba 	孩子吧	c=1 d=1 t=28033
hai zi de 	孩子的	c=4 d=1.00664 t=23774
hai zi ma 	孩子吗	c=1 d=1 t=29024
han 	寒	c=1 d=1 t=13219
han bao 	汉堡	c=2 d=1.92312 t=23539
han guo 	韩国	c=4 d=2.97516 t=15769
hang 	行	c=0 d=0.1 t=7068
hang qing 	行情	c=1 d=1 t=28190
hang ye 	行业	c=13 d=1.0667 t=30356
hang ye de 	行业的	c=1 d=1 t=30276
hao 	号	c=3 d=1 t=12229
hao 	好	c=60 d=1.78738 t=30897
hao 	耗	c=3 d=1.09681 t=12135
hao ba 	好吧	c=2 d=1 t=27891
hao bao 	好报	c=1 d=1 t=13410
hao bu 	好不	c=12 d=1.00003 t=26640
hao bu hao 	好不好	c=3 d=1 t=31326
hao bu hao de 	好不好的	c=1 d=1 t=5591
hao bu rong yi 	好不容易	c=4 d=1.81465 t=23498
hao chi 	好吃	c=0 d=0.1 t=12639
hao chi de 	好吃的	c=2 d=1.05156 t=13233
hao chu 	好处	c=2 d=1 t=22462
hao da 	好大	c=1 d=1 t=6625
hao dai 	好歹	c=2 d=1 t=24643
hao de 	好的	c=15 d=1.56483 t=31363
hao de ming 	好的命	c=1 d=1 t=23917
hao di fang 	好地方	c=1 d=1 t=23641
hao duo 	好多	c=3 d=1 t=32059
hao duo le 	好多了	c=1 d=1 t=20278
hao duo ren 	好多人	c=1 d=1 t=5891
hao fu za 	好复杂	c=1 d=1 t=6591
hao hao 	好好	c=9 d=1.0124 t=31727
hao hao de 	好好的	c=3 d=1 t=30543
hao hao huo ji nian 	好好活几年	c=1 d=1 t=1275
hao hao xue 	好好学	c=1 d=1 t=7116
hao hou hui 	好后悔	c=1 d=1 t=5571
hao hua 	好话	c=1 d=1 t=28124
hao huai 	好坏	c=1 d=1 t=26177
hao ji 	好几	c=0 d=0.1 t=13245
hao ji ge 	好几个	c=4 d=1 t=27404
hao ji men 	好几门	c=1 d=1 t=4681
hao ji nian 	好几年	c=1 d=1 t=16882
hao jia ge 	好价格	c=1 d=1 t=17497
hao jie guo 	好结果	c=1 d=1 t=889
hao jiu 	好久	c=2 d=1.00042 t=25356
